esac_publisher,cr_year,article_total,upw_hybrid_total,cr_hybrid_total,cat
Elsevier,2021,577085,44992,44304,Global
Elsevier,2020,548463,28208,27339,Global
Elsevier,2019,514201,20333,18647,Global
Elsevier,2018,492799,17663,15849,Global
Elsevier,2017,475328,14626,13642,Global
Springer Nature,2021,336650,47056,46376,Global
Springer Nature,2020,305448,34968,34182,Global
Springer Nature,2019,288031,22580,21733,Global
Springer Nature,2018,279079,19974,19537,Global
Springer Nature,2017,268205,16521,17903,Global
Wiley,2020,225059,31149,30748,Global
Wiley,2021,220408,38293,38912,Global
Wiley,2019,205069,17551,16480,Global
Wiley,2018,201717,11620,10858,Global
Wiley,2017,195835,8056,7610,Global
Taylor & Francis,2020,138020,8713,8575,Global
Taylor & Francis,2021,136128,15271,15684,Global
Taylor & Francis,2019,135770,6598,6593,Global
Taylor & Francis,2017,130815,4163,4072,Global
Taylor & Francis,2018,123964,3131,2835,Global
Oxford University Press,2018,66969,5692,4210,Global
Oxford University Press,2017,66725,4750,2117,Global
IEEE,2021,64247,816,2559,Global
American Chemical Society,2021,62378,5847,6309,Global
American Chemical Society,2020,62040,4851,655,Global
Wolters Kluwer Health,2020,61120,2352,46,Global
American Chemical Society,2019,60064,3243,71,Global
Wolters Kluwer Health,2018,57433,1140,32,Global
American Chemical Society,2018,57242,2596,53,Global
Oxford University Press,2020,55168,8062,6526,Global
Wolters Kluwer Health,2019,54915,1888,45,Global
Wolters Kluwer Health,2017,54894,402,52,Global
Oxford University Press,2021,54593,9992,9334,Global
IEEE,2020,53920,1236,1457,Global
American Chemical Society,2017,51962,3221,40,Global
Oxford University Press,2019,50653,6442,5248,Global
IEEE,2019,49938,2984,538,Global
IEEE,2018,48799,2828,518,Global
Wolters Kluwer Health,2021,47806,2547,263,Global
IEEE,2017,45349,2635,400,Global
Sage,2020,40568,2952,3034,Global
Sage,2021,39084,3901,4731,Global
Sage,2018,36145,826,114,Global
Sage,2017,35992,644,57,Global
Sage,2019,35921,1127,441,Global
Royal Society of Chemistry,2020,35602,3450,3320,Global
The Royal Society,2020,34846,3531,3407,Global
